Date,Time of day start,Site,Exposure,Camera,Mean flow,FOV,Segment,Video number,Time of video analyzed,Observer,Date Processed,Species,Length,Bites,Notes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,STBE,15,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,STBE,15,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,5,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,STBE,10,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,14,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,4,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,2,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,4,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,7,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,13,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,5,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,PRLA,30,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,9,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,1,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,6,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,10,25,Large (10cm) HADI chasing away smaller individuals
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,4,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,2,GOPR0208,0:09-0:19,RWL,9/28/15,HADI,5,3,Date and time need to be changed to correct date (June 2_?)
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,35,9,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,35,9,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,18,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,14,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,24,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,19,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,14,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,3,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,5,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,7,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,22,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,40,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,6,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,4,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,9,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,21,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,8,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,11,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,24,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,23,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,22,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,15,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,25,10,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
6/26/15,0:12:39,punta_nunez,Exposed,1,,2,3,GOPR0208,0:21-0:28:50,RWL,10/1/15,PRLA,30,11,Date and time need to be changed to correct date (June 2_?); remaining 2:10 for analysis was done on minutes 0:03:00-0:05:10 in video GOPR0207 to complete 10 minutes
